!Property,!Text,!Note
SettingsReserveSpaceTooltip,R‚serve d'espace dans le zone de travail pour la sidebar.,Settings reserve space tooltip
SettingsRoundAllDecimals,Arrondir toutes les d‚cimales,Settings round all decimals label
SettingsRoundAllDecimalsTooltip,Arrondit toutes les valeurs d‚cimales … l'entier le plus proche.,Settings round all decimals tooltip
SettingsRunAtStartup,Lancer au d‚marrage. ,Settings run at startup label
SettingsRunAtStartupTooltip,Ex‚cute l'application quand vous vous connectez.,Settings run at startup tooltip
SettingsScreen,Ecran,Screen settings label
SettingsScreenTooltip,Ecran sur lequel la sidebar sera affich‚e.,Screen settings tooltip
SettingsShowClock,Afficher l'heure,Settings show clock label
SettingsShowClockTooltip,Affiche l'heure.,Settings show clock tooltip
SettingsShowDriveDetails,Afficher les d‚tails des disques durs.,Settings show drive details label
SettingsShowDriveIO,Afficher l'I/O du disque,Settings show drive IO label
SettingsShowDriveIOTooltip,Affiche les vitesses d'‚criture et de lecture du disque si l'option d‚tails des disques est activ‚e.,Settings show drive IO tooltip
SettingsShowDriveSpace,Afficher l'espace disque,Settings show drive space label
SettingsShowDriveSpaceTooltip,"Afficher le pourcentage de charge, l'espace occup‚ et l'espace libre si l'option d‚tails des disques est activ‚e.",Settings show drive space tooltip
SettingsShowHardwareNames,Afficher les noms des Mat‚riels,Settings show hardware names label
SettingsShowHardwareNamesTooltip,Afficher les noms des mat‚riels.,Settings show hardware names tooltip
SettingsShowTrayIcon,Afficher l'ic“ne dans la barre de tƒches,Settings show tray icon label
SettingsShowTrayIconTooltip,Affiche l'ic“ne dans la barre de tƒches. Ceci est parfois requis.,Settings show tray icon tooltip
SettingsSidebarWidth,Largeur de la Sidebar,Settings sidebar width label
SettingsSidebarWidthTooltip,Largeur de la Sidebare en pixels.,Settings sidebar width tooltip
SettingsTemperatureAlert,Alerte de temp‚rature,Settings temperature alert label
SettingsTemperatureAlertTooltip,Seuil de temp‚rature qui va g‚n‚rer une alerte. Mettez 0 pour d‚sactiver.,Settings temperature alert tooltip
SettingsTextAlign,Alignement du texte,Settings text align label
SettingsTextAlignLeft,Gauche,Settings text align left value
SettingsTextAlignRight,Droite,Settings text align right value
SettingsTextAlignTooltip,Alignement du texte m‚trique.,Settings text align tooltip
SettingsTitle,R‚glages Sidebar,Title of the settings window
SettingsUIScale,Echelle UI,Settings UI scale label
SettingsUIScaleTooltip,Echelle de toutes les fenˆtres et composants.,Settings UI scale tooltip
SettingsUseBytesPerSecond,Utiliser Bytes par seconde,Settings use bytes per second label
SettingsUseBytesPerSecondTooltip,Affiche la bande passante en Bytes par seconde au lieu de l'octeur par seconde.,Settings use bytes per second tooltip
SettingsUsedSpaceAlert,Alerte d'espace utilis‚,Settings used space alert label
SettingsUsedSpaceAlertTooltip,Seuil en pourcentage d'espace utilis‚ qui va g‚n‚rer une alerte. Mettez 0 pour d‚sactiver.,Settings used space alert tooltip
SettingsUseFahrenheit,Utiliser le Degr‚ Fahrenheit,Settings use fahrenheit label
SettingsUseFahrenheitTooltip,Les temp‚ratures des sondes et alarmes seront en Fahrenheit au lieu des Celsius.,Settings use fahrenheit tooltip
SettingsUseGHz,Utiliser le GHz,Settings use GHz label
SettingsUseGHzTooltip,Les fr‚quences vont ˆtre en Ghz au lieu des Mhz.,Settings use GHz tooltip
SettingsVerticalOffset,D‚calage vertical,Vertical offset settings label
SettingsVerticalOffsetTooltip,D‚calage vertical de la sidebar.,Vertical Offset settings tooltip
SetupCustomSubtitle,Utilisez les curseurs et les zones de texte pour d‚placer la sidebar … la position correcte.,Subtitle of the custom setup page
SetupCustomTitle,Personnalis‚,Title of the custom setup page
SetupDoneSubtitle,"Si vous souhaitez personnaliser la sidebar, clique sur le bouton R‚glages.",Subtitle of the setup done page
SetupDoneText,Vous pouvez ‚galement acc‚der aux r‚glages via l'ic“nes en haut … droite de la sidebar ou via l'ic“ne dans la barre de tƒches.,Text of the setup done page
SetupDoneTitle,Effectu‚ !,Title of the setup done page
SetupSubtitle,Ceci est une configuration rapide pour avoir la sidebare dans la position correcte. ,Subtitle of the initial setup page
SetupText,Est-ce que la sideba est visible et ancr‚e sur le bord droit de votre ‚cran principal ?,Text of the initial setup page
SetupTitle,Configuration initiale,Title of the initial setup page
Sidebar,Sidebar,Title of the sidebar window
Time,Heure,Sidebar clock title
UpdateErrorFatalText,Une erreur fatale est survenue lors de la tentative de mise … jour. La mise … jour automatique est maintenant d‚sactiv‚e.,Fatal text of the update error popup
UpdateErrorText,Mise … jour impossible. V‚rifiez votre connexion internet.,Text of the update error popup
UpdateErrorTitle,Erreur de mise … jour.,Title of the update error popup
UpdateSuccessText,Vous avez la derniŠre version,Text of the update success popup
UpdateTitle,Mise … jour,Title of the update window
